,kenteken,voertuigsoort,merk,handelsbenaming,datum_tenaamstelling,inrichting,eerste_kleur,tweede_kleur,aantal_cilinders,massa_ledig_voertuig,massa_rijklaar,datum_eerste_toelating,datum_eerste_tenaamstelling_in_nederland,wacht_op_keuren,wam_verzekerd,aantal_deuren,aantal_wielen,afstand_hart_koppeling_tot_achterzijde_voertuig,afstand_voorzijde_voertuig_tot_hart_koppeling,lengte,breedte,europese_voertuigcategorie,technische_max_massa_voertuig,volgnummer_wijziging_eu_typegoedkeuring,vermogen_massarijklaar,wielbasis,export_indicator,openstaande_terugroepactie_indicator,taxi_indicator,maximum_massa_samenstelling,jaar_laatste_registratie_tellerstand,tellerstandoordeel,code_toelichting_tellerstandoordeel,tenaamstellen_mogelijk,datum_tenaamstelling_dt,datum_eerste_toelating_dt,datum_eerste_tenaamstelling_in_nederland_dt,api_gekentekende_voertuigen_assen,api_gekentekende_voertuigen_brandstof,api_gekentekende_voertuigen_carrosserie,api_gekentekende_voertuigen_carrosserie_specifiek,api_gekentekende_voertuigen_voertuigklasse,plaats_chassisnummer,vervaldatum_apk,vervaldatum_apk_dt,type_gasinstallatie,maximum_last_onder_de_vooras_sen_tezamen_koppeling,bruto_bpm,aantal_zitplaatsen,cilinderinhoud,toegestane_maximum_massa_voertuig,maximum_massa_trekken_ongeremd,maximum_trekken_massa_geremd,catalogusprijs,typegoedkeuringsnummer,variant,uitvoering,aantal_rolstoelplaatsen,maximum_ondersteunende_snelheid,zuinigheidsclassificatie,type,registratie_datum_goedkeuring_afschrijvingsmoment_bpm,registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt
0,0009PH,Personenauto,OPEL,MANTA,20110226,Niet geregistreerd,ROOD,Niet geregistreerd,4,914,1014,19701005,19701005,Geen verstrekking in Open Data,Ja,2,4,0,0,0,0,M1,0,0,0.00,244,Nee,Nee,Nee,0,2020,Geen oordeel,01,Ja,2011-02-26T00:00:00.000,1970-10-05T00:00:00.000,1970-10-05T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,,,,,,,,,,,,,,,,,,,,,
1,0021JK,Personenauto,OPEL,GT,19820616,Niet geregistreerd,ROOD,Niet geregistreerd,4,930,1030,19690612,19690612,Geen verstrekking in Open Data,Ja,2,4,0,0,0,0,M1,0,0,0.00,243,Nee,Nee,Nee,0,2021,Geen oordeel,01,Ja,1982-06-16T00:00:00.000,1969-06-12T00:00:00.000,1969-06-12T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,in watergoot onder voorruit onder motorkap,,,,,,,,,,,,,,,,,,,,
2,0038VX,Personenauto,OPEL,GT,20080404,Niet geregistreerd,ROOD,Niet geregistreerd,4,930,1030,19721130,19721130,Geen verstrekking in Open Data,Ja,2,4,0,0,0,0,M1,0,0,0.00,243,Nee,Nee,Nee,0,2021,Geen oordeel,01,Ja,2008-04-04T00:00:00.000,1972-11-30T00:00:00.000,1972-11-30T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,l. op schutbord onder motorkap,20230927,2023-09-27T00:00:00.000,,,,,,,,,,,,,,,,,,
3,0046JK,Personenauto,OPEL,GT,19790627,Niet geregistreerd,ROOD,Niet geregistreerd,4,930,1030,19690707,19690707,Geen verstrekking in Open Data,Nee,2,4,0,0,0,0,M1,0,0,0.00,243,Nee,Nee,Nee,0,,Niet geregistreerd,NG,Ja,1979-06-27T00:00:00.000,1969-07-07T00:00:00.000,1969-07-07T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,,,,,,,,,,,,,,,,,,,,,
4,0046XE,Personenauto,OPEL,KADETT,20051121,Niet geregistreerd,ROOD,Niet geregistreerd,4,776,876,19730222,19730222,Geen verstrekking in Open Data,Ja,2,4,0,0,0,0,M1,0,0,0.00,242,Nee,Nee,Nee,0,2022,Geen oordeel,01,Ja,2005-11-21T00:00:00.000,1973-02-22T00:00:00.000,1973-02-22T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op slotplaat onder motorkap,20240617,2024-06-17T00:00:00.000,G2 gasinstallatie,0,,,,,,,,,,,,,,,,
5,0076UP,Personenauto,OPEL,GT,20010227,Niet geregistreerd,ROOD,Niet geregistreerd,4,930,1030,19720619,19720619,Geen verstrekking in Open Data,Nee,2,4,0,0,0,0,M1,0,0,0.00,243,Nee,Nee,Nee,0,2006,Geen oordeel,01,Ja,2001-02-27T00:00:00.000,1972-06-19T00:00:00.000,1972-06-19T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,,,,,,,,,,,,,,,,,,,,,
6,0091VX,Personenauto,OPEL,ADMIRAL,20220225,Niet geregistreerd,ROOD,Niet geregistreerd,6,1448,1548,19721215,19721215,Geen verstrekking in Open Data,Ja,4,4,0,0,0,0,M1,0,0,0.00,285,Nee,Nee,Nee,0,2022,Geen oordeel,01,Ja,2022-02-25T00:00:00.000,1972-12-15T00:00:00.000,1972-12-15T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op slotplaat onder motorkap,,,,0,,,,,,,,,,,,,,,,
7,00GJB2,Personenauto,OPEL,AGILA,20120721,stationwagen,ROOD,Niet geregistreerd,4,965,1065,20080704,20080704,Geen verstrekking in Open Data,Ja,4,4,0,0,374,0,M1,1485,0,0.06,236,Nee,Nee,Nee,1685,2022,Logisch,00,Ja,2012-07-21T00:00:00.000,2008-07-04T00:00:00.000,2008-07-04T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op r. schroefveerkoker onder motorkap,20230720,2023-07-20T00:00:00.000,,,2041,5,1242,1485,200,200,13868,e4*2001/116*0135*00,AB11,1A02A1AABA5,0,0.00,B,,,
8,00GJP7,Personenauto,OPEL,AGILA,20220606,stationwagen,ROOD,Niet geregistreerd,4,965,1065,20080630,20080630,Geen verstrekking in Open Data,Ja,4,4,0,0,374,0,M1,1485,0,0.06,236,Nee,Nee,Nee,1685,2022,Logisch,00,Ja,2022-06-06T00:00:00.000,2008-06-30T00:00:00.000,2008-06-30T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op r. schroefveerkoker onder motorkap,20230401,2023-04-01T00:00:00.000,,,2041,5,1242,1485,200,200,13868,e4*2001/116*0135*01,AB11,1A02A1AABA5,0,,B,H-B,,
9,00GKJ1,Personenauto,OPEL,AGILA,20140620,stationwagen,ROOD,Niet geregistreerd,4,965,1065,20080707,20080707,Geen verstrekking in Open Data,Ja,4,4,0,0,374,0,M1,1485,0,0.06,236,Nee,Nee,Nee,1685,2022,Logisch,00,Ja,2014-06-20T00:00:00.000,2008-07-07T00:00:00.000,2008-07-07T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op r. schroefveerkoker onder motorkap,20230901,2023-09-01T00:00:00.000,,,2041,5,1242,1485,200,200,13868,e4*2001/116*0135*01,AB11,1A02A1AABA5,0,,B,H-B,,
