;kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;europese_voertuigcategorie;plaats_chassisnummer;type_gasinstallatie;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;maximum_massa_samenstelling;bruto_bpm;aantal_zitplaatsen;cilinderinhoud;toegestane_maximum_massa_voertuig;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;zuinigheidsclassificatie;maximum_ondersteunende_snelheid;maximale_constructiesnelheid;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;europese_voertuigcategorie_toevoeging;europese_uitvoeringcategorie_toevoeging
0;0004ZT;Personenauto;BMW;2002AUTOMATIC;20140221;20150921;Niet geregistreerd;BLAUW;Niet geregistreerd;4;1044;1144;19730105;19730105;Geen verstrekking in Open Data;Nee;2;4;M1;op r. voorwielscherm onder motorkap;G2 gasinstallatie;0.00;250;Nee;Nee;Nee;2012;Geen oordeel;07;Ja;2014-02-21T00:00:00.000;2015-09-21T00:00:00.000;1973-01-05T00:00:00.000;1973-01-05T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0017JU;Personenauto;BMW;1600 CABRIOLET;0;19971024;Niet geregistreerd;WIT;Niet geregistreerd;4;956;1056;19691015;19691015;Geen verstrekking in Open Data;Nee;2;4;M1;0;0;0.00;250;Nee;Nee;Nee;2012;Geen oordeel;01;Ja;0;1997-10-24T00:00:00.000;1969-10-15T00:00:00.000;1969-10-15T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0098EF;Personenauto;BMW;1600 - 2;0;19881213;Niet geregistreerd;CREME;Niet geregistreerd;4;920;1020;19670601;19670601;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2020;Geen oordeel;01;Ja;0;1988-12-13T00:00:00.000;1967-06-01T00:00:00.000;1967-06-01T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;00EU01;Personenauto;BMW;1602;20240528;19770315;Niet geregistreerd;GEEL;Niet geregistreerd;4;980;1080;19750115;19750115;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2022;Logisch;00;Ja;2024-05-28T00:00:00.000;1977-03-15T00:00:00.000;1975-01-15T00:00:00.000;1975-01-15T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;00EU06;Personenauto;BMW;1602;20240826;19921127;Niet geregistreerd;ROOD;Niet geregistreerd;4;980;1080;19750115;19750115;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2022;Geen oordeel;01;Ja;2024-08-26T00:00:00.000;1992-11-27T00:00:00.000;1975-01-15T00:00:00.000;1975-01-15T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;00EV06;Personenauto;BMW;1602;20200409;20200828;Niet geregistreerd;BEIGE;Niet geregistreerd;4;980;1080;19750113;19750113;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2020;Geen oordeel;01;Ja;2020-04-09T00:00:00.000;2020-08-28T00:00:00.000;1975-01-13T00:00:00.000;1975-01-13T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;00FA17;Personenauto;BMW;2002 AUTOMATIC;20080227;20161122;Niet geregistreerd;BLAUW;Niet geregistreerd;4;1000;1100;19750220;19750220;Geen verstrekking in Open Data;Nee;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2007;Geen oordeel;01;Ja;2008-02-27T00:00:00.000;2016-11-22T00:00:00.000;1975-02-20T00:00:00.000;1975-02-20T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;00FG17;Personenauto;BMW;2002;0;19880125;Niet geregistreerd;ROOD;Niet geregistreerd;4;1000;1100;19750416;19750416;Geen verstrekking in Open Data;Nee;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;0;1988-01-25T00:00:00.000;1975-04-16T00:00:00.000;1975-04-16T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;00FP46;Personenauto;BMW;2002;20221228;20040409;Niet geregistreerd;GROEN;Niet geregistreerd;4;1000;1100;19750417;19750417;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2020;Geen oordeel;01;Ja;2022-12-28T00:00:00.000;2004-04-09T00:00:00.000;1975-04-17T00:00:00.000;1975-04-17T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;00FR38;Personenauto;BMW;2002 TII;20020731;20201009;Niet geregistreerd;BEIGE;Niet geregistreerd;4;1000;1100;19750418;19750418;Geen verstrekking in Open Data;Nee;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2001;Geen oordeel;01;Ja;2002-07-31T00:00:00.000;2020-10-09T00:00:00.000;1975-04-18T00:00:00.000;1975-04-18T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;00FT17;Personenauto;BMW;2002;20230901;20150511;Niet geregistreerd;GRIJS;Niet geregistreerd;4;1000;1100;19750418;19750418;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2021;Logisch;00;Ja;2023-09-01T00:00:00.000;2015-05-11T00:00:00.000;1975-04-18T00:00:00.000;1975-04-18T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;00FT19;Personenauto;BMW;2002;20240418;20210709;Niet geregistreerd;GRIJS;Niet geregistreerd;4;1000;1100;19750418;19750418;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2022;Geen oordeel;01;Ja;2024-04-18T00:00:00.000;2021-07-09T00:00:00.000;1975-04-18T00:00:00.000;1975-04-18T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;00FT28;Personenauto;BMW;TOURING 2000 TII;20230617;20150303;Niet geregistreerd;CREME;Niet geregistreerd;4;1060;1160;19750418;19750418;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2021;Geen oordeel;01;Ja;2023-06-17T00:00:00.000;2015-03-03T00:00:00.000;1975-04-18T00:00:00.000;1975-04-18T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;00FU55;Personenauto;BMW;1602;20230630;20191221;Niet geregistreerd;GRIJS;Niet geregistreerd;4;980;1080;19750620;19750620;Geen verstrekking in Open Data;Ja;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;2021;Geen oordeel;01;Ja;2023-06-30T00:00:00.000;2019-12-21T00:00:00.000;1975-06-20T00:00:00.000;1975-06-20T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;00FX45;Personenauto;BMW;2002 AUTOMATIC;0;19900804;Niet geregistreerd;CREME;Niet geregistreerd;4;1000;1100;19750522;19750522;Geen verstrekking in Open Data;Nee;2;4;M1;op r. voorwielscherm onder motorkap;0;0.00;250;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;0;1990-08-04T00:00:00.000;1975-05-22T00:00:00.000;1975-05-22T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
