;kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;bruto_bpm;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;maximum_massa_trekken_ongeremd;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;catalogusprijs;wam_verzekerd;laadvermogen;aanhangwagen_autonoom_geremd;aanhangwagen_middenas_geremd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;type;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;maximum_ondersteunende_snelheid;oplegger_geremd;vervaldatum_tachograaf;vervaldatum_tachograaf_dt;type_gasinstallatie;maximum_trekken_massa_geremd;maximale_constructiesnelheid;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt
0;7VTV11;Bedrijfsauto;FORD;TRANSIT/TOURNEO;20230701;20120316;9760;gesloten opbouw;6;N.v.t.;N.v.t.;4;2198;1809;2625;1909;750;20120316;20120316;Geen verstrekking in Open Data;39748;Ja;816;2000;2000;0;4;0;0;0;197;N1;r. voorwielscherm by vooras;2625;FAE6;e1*2007/46*0243*02;CYFA1A;A6ESEF;0;0.05;293;Nee;Nee;Nee;4625;0;2022;Logisch;00;Ja;2023-07-01T00:00:00.000;2012-03-16T00:00:00.000;2012-03-16T00:00:00.000;2012-03-16T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0
1;7VTV12;Bedrijfsauto;FORD;TRANSIT/TOURNEO;20230316;20120918;10175;gesloten opbouw;6;N.v.t.;N.v.t.;4;2198;1845;2625;1945;750;20120316;20120316;Geen verstrekking in Open Data;41472;Ja;780;2000;2000;0;4;0;0;0;197;N1;r. voorwielscherm by vooras;2625;FAE6;e1*2007/46*0243*02;UHFA1A;A6ESEF;0;0.05;293;Nee;Nee;Nee;4625;0;2022;Logisch;00;Ja;2023-03-16T00:00:00.000;2012-09-18T00:00:00.000;2012-03-16T00:00:00.000;2012-03-16T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0
2;7VTV13;Bedrijfsauto;FORD;TRANSIT 260S VAN 115DPF 4.36;20230419;20190406;8610;gesloten opbouw;3;N.v.t.;N.v.t.;4;2198;1670;2600;1770;750;20120319;20120319;Geen verstrekking in Open Data;34969;Ja;930;2000;2000;0;4;0;0;0;197;N1;tegen r. voorwielscherm v. vooras;2600;0;0;0;0;0;0.05;293;Nee;Nee;Nee;4600;0;2022;Logisch;00;Ja;2023-04-19T00:00:00.000;2019-04-06T00:00:00.000;2012-03-19T00:00:00.000;2012-03-19T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0
3;7VTV14;Bedrijfsauto;IVECO;DAILY 35C12V;20230820;20210528;11160;gesloten opbouw;3;N.v.t.;N.v.t.;4;2287;2270;3500;2370;750;20090629;20140701;Geen verstrekking in Open Data;0;Ja;1230;3500;3500;0;4;0;0;0;198;N1;r. balk a. vooras;3500;0;0;0;0;0;0.04;330;Nee;Nee;Nee;7000;0;2022;Geen oordeel;05;Ja;2023-08-20T00:00:00.000;2021-05-28T00:00:00.000;2009-06-29T00:00:00.000;2014-07-01T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0
4;7VTV17;Bedrijfsauto;OPEL;COMBO;20230211;20220725;4906;gesloten opbouw;2;N.v.t.;N.v.t.;4;1686;1220;1720;1320;550;20120320;20120320;Geen verstrekking in Open Data;19590;Ja;500;1000;1000;0;4;0;0;432;168;N1;r. voorzitting;1840;COMBO-C-VAN;e1*2007/46*0129*03;AF11;1A09KKBDB2;0;0.06;272;Nee;Nee;Nee;2815;0;2022;Logisch;00;Ja;2023-02-11T00:00:00.000;2022-07-25T00:00:00.000;2012-03-20T00:00:00.000;2012-03-20T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0
5;7VTV18;Bedrijfsauto;OPEL;VIVARO;20230417;20171004;8706;gesloten opbouw;3;N.v.t.;N.v.t.;4;1995;1801;2790;1901;750;20120316;20120316;Geen verstrekking in Open Data;35385;Ja;989;2000;2000;0;4;0;0;0;190;N1;r. balk a. vooras;2790;F7;e1*2007/46*0575*07;A1A6;E1ARG3;0;0.04;310;Nee;Nee;Nee;4790;0;2022;Logisch;00;Ja;2023-04-17T00:00:00.000;2017-10-04T00:00:00.000;2012-03-16T00:00:00.000;2012-03-16T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;0;0
6;7VTV21;Bedrijfsauto;OPEL;VIVARO;20230706;20170711;7809;gesloten opbouw;3;N.v.t.;N.v.t.;4;1995;1743;2790;1843;750;20120319;20120319;Geen verstrekking in Open Data;31656;Ja;1047;2000;2000;0;4;0;0;0;190;N1;r. balk a. vooras;2790;F7;e1*2007/46*0575*05;A0AE;E1APG3;0;0.04;310;Nee;Nee;Nee;4790;0;2022;Logisch;00;Ja;2023-07-06T00:00:00.000;2017-07-11T00:00:00.000;2012-03-19T00:00:00.000;2012-03-19T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0.00;0;0;0;0;0;0;0;0
7;7VTV22;Bedrijfsauto;OPEL;VIVARO;20230501;20190528;9892;gesloten opbouw;6;N.v.t.;N.v.t.;4;1995;1931;3030;2031;750;20120315;20120315;Geen verstrekking in Open Data;40314;Ja;1099;2000;2000;0;4;0;0;0;190;N1;r. balk a. vooras;3030;F7;e1*2007/46*0575*07;B1BE;E1ASD3;0;0.04;350;Nee;Nee;Nee;5030;0;2022;Logisch;00;Ja;2023-05-01T00:00:00.000;2019-05-28T00:00:00.000;2012-03-15T00:00:00.000;2012-03-15T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0.00;0;0;0;0;0;0;0;0
8;7VTV25;Bedrijfsauto;OPEL;VIVARO;20230316;20120316;7811;gesloten opbouw;3;N.v.t.;N.v.t.;4;1995;1801;2790;1901;750;20120316;20120316;Geen verstrekking in Open Data;31664;Ja;989;2000;2000;0;4;0;0;0;190;N1;r. balk a. vooras;2790;F7;e1*2007/46*0575*07;A0AE;E1ARG3;0;0.03;310;Nee;Nee;Nee;4790;0;2022;Logisch;00;Ja;2023-03-16T00:00:00.000;2012-03-16T00:00:00.000;2012-03-16T00:00:00.000;2012-03-16T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0.00;0;0;0;0;0;0;0;0
9;7VTV26;Bedrijfsauto;OPEL;MOVANO;20230329;20200818;12071;gesloten opbouw;3;N.v.t.;N.v.t.;4;2299;1973;3500;2073;750;20120328;20120328;Geen verstrekking in Open Data;49371;Ja;1527;2500;2500;0;4;0;0;555;207;N1;r. deurdorpel;3500;MR;e1*2007/46*0362*06;FEFC;A1ADB3;0;0.05;368;Nee;Nee;Nee;6000;0;2022;Logisch;00;Ja;2023-03-29T00:00:00.000;2020-08-18T00:00:00.000;2012-03-28T00:00:00.000;2012-03-28T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0.00;0;0;0;0;0;0;0;0
