,kenteken,voertuigsoort,merk,handelsbenaming,vervaldatum_apk,datum_tenaamstelling,inrichting,eerste_kleur,tweede_kleur,aantal_cilinders,massa_ledig_voertuig,massa_rijklaar,datum_eerste_toelating,datum_eerste_tenaamstelling_in_nederland,wacht_op_keuren,wam_verzekerd,aantal_deuren,aantal_wielen,europese_voertuigcategorie,plaats_chassisnummer,type_gasinstallatie,vermogen_massarijklaar,wielbasis,export_indicator,openstaande_terugroepactie_indicator,taxi_indicator,jaar_laatste_registratie_tellerstand,tellerstandoordeel,code_toelichting_tellerstandoordeel,tenaamstellen_mogelijk,vervaldatum_apk_dt,datum_tenaamstelling_dt,datum_eerste_toelating_dt,datum_eerste_tenaamstelling_in_nederland_dt,maximum_last_onder_de_vooras_sen_tezamen_koppeling,api_gekentekende_voertuigen_assen,api_gekentekende_voertuigen_brandstof,api_gekentekende_voertuigen_carrosserie,api_gekentekende_voertuigen_carrosserie_specifiek,api_gekentekende_voertuigen_voertuigklasse,afstand_hart_koppeling_tot_achterzijde_voertuig,afstand_voorzijde_voertuig_tot_hart_koppeling,lengte,breedte,technische_max_massa_voertuig,volgnummer_wijziging_eu_typegoedkeuring,maximum_massa_samenstelling,bruto_bpm,aantal_zitplaatsen,cilinderinhoud,toegestane_maximum_massa_voertuig,maximum_massa_trekken_ongeremd,maximum_trekken_massa_geremd,catalogusprijs,type,typegoedkeuringsnummer,variant,uitvoering,aantal_rolstoelplaatsen,zuinigheidsclassificatie,maximum_ondersteunende_snelheid,maximale_constructiesnelheid
0,0004ZT,Personenauto,BMW,2002AUTOMATIC,20140221,20150921,Niet geregistreerd,BLAUW,Niet geregistreerd,4,1044,1144,19730105,19730105,Geen verstrekking in Open Data,Nee,2,4,M1,op r. voorwielscherm onder motorkap,G2 gasinstallatie,0.00,250,Nee,Nee,Nee,2012,Geen oordeel,07,Ja,2014-02-21T00:00:00.000,2015-09-21T00:00:00.000,1973-01-05T00:00:00.000,1973-01-05T00:00:00.000,0,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,,,,,,,,,,,,,,,,,,,,,,
1,00FA17,Personenauto,BMW,2002 AUTOMATIC,20080227,20161122,Niet geregistreerd,BLAUW,Niet geregistreerd,4,1000,1100,19750220,19750220,Geen verstrekking in Open Data,Nee,2,4,M1,op r. voorwielscherm onder motorkap,,0.00,250,Nee,Nee,Nee,2007,Geen oordeel,01,Ja,2008-02-27T00:00:00.000,2016-11-22T00:00:00.000,1975-02-20T00:00:00.000,1975-02-20T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2,00GA36,Personenauto,BMW,1602,20240404,20120406,Niet geregistreerd,BLAUW,Niet geregistreerd,4,980,1080,19750526,19750526,Geen verstrekking in Open Data,Ja,2,4,M1,op r. voorwielscherm onder motorkap,,0.00,250,Nee,Nee,Nee,2022,Geen oordeel,01,Ja,2024-04-04T00:00:00.000,2012-04-06T00:00:00.000,1975-05-26T00:00:00.000,1975-05-26T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
3,00GFZ3,Personenauto,BMW,1ER REIHE,20230629,20220820,stationwagen,BLAUW,Niet geregistreerd,4,1320,1420,20080613,20080613,Geen verstrekking in Open Data,Ja,4,4,M1,op r. schroefveerkoker onder motorkap,,0.07,266,Nee,Nee,Nee,2022,Logisch,00,Ja,2023-06-29T00:00:00.000,2022-08-20T00:00:00.000,2008-06-13T00:00:00.000,2008-06-13T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,424,0,1855,0,3130,9373,5,1995,1855,690,1200,37411,187,e1*2001/116*0287*12,UD71,AB,0,C,,
4,00GGB4,Personenauto,BMW,Z4 3.0 SI,20230530,20170927,cabriolet,BLAUW,Niet geregistreerd,6,1370,1470,20071010,20080609,Geen verstrekking in Open Data,Ja,2,4,M1,r. schroefveerkoker,,0.13,250,Nee,Nee,Nee,2022,Geen oordeel,05,Ja,2023-05-30T00:00:00.000,2017-09-27T00:00:00.000,2007-10-10T00:00:00.000,2008-06-09T00:00:00.000,0,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,,,,,1640,,,17513,2,2996,1640,,,,,,,,,,,
5,00GLF8,Personenauto,BMW,1ER REIHE,20230715,20210319,hatchback,BLAUW,Niet geregistreerd,4,1275,1375,20080715,20080715,Geen verstrekking in Open Data,Ja,4,4,M1,r. schroefveerkoker onder motorkap,,0.08,266,Nee,Nee,Nee,2022,Logisch,00,Ja,2023-07-15T00:00:00.000,2021-03-19T00:00:00.000,2008-07-15T00:00:00.000,2008-07-15T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,424,0,1800,0,3075,7394,5,1995,1800,670,1200,34222,187,e1*2001/116*0287*13,UE51,AL,0,B,,
6,00GM30,Personenauto,BMW,2500 AUTOMATIC,20240901,20071017,Niet geregistreerd,BLAUW,Niet geregistreerd,6,1320,1420,19750718,19750718,Geen verstrekking in Open Data,Ja,4,4,M1,r. tegen schutbord onder motorkap,,0.00,269,Nee,Nee,Nee,2022,Geen oordeel,01,Ja,2024-09-01T00:00:00.000,2007-10-17T00:00:00.000,1975-07-18T00:00:00.000,1975-07-18T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
7,00GPK2,Personenauto,BMW,1ER REIHE,20221211,20220709,hatchback,BLAUW,Niet geregistreerd,4,1230,1330,20080808,20080808,Geen verstrekking in Open Data,Ja,2,4,M1,r. schroefveerkoker onder motorkap,,0.07,266,Nee,Nee,Nee,2022,Logisch,00,Ja,2022-12-11T00:00:00.000,2022-07-09T00:00:00.000,2008-08-08T00:00:00.000,2008-08-08T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,424,0,1755,0,3030,6930,4,1599,1755,650,1200,32451,187,e1*2001/116*0287*13,UB71,AI,0,B,,
8,00GPR4,Personenauto,BMW,3ER REIHE,20230401,20200506,stationwagen,BLAUW,Niet geregistreerd,4,1405,1505,20080812,20080812,Geen verstrekking in Open Data,Ja,4,4,M1,op r. schroefveerkoker onder motorkap,,0.07,276,Nee,Nee,Nee,2022,Logisch,00,Ja,2023-04-01T00:00:00.000,2020-05-06T00:00:00.000,2008-08-12T00:00:00.000,2008-08-12T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,452,0,1970,0,3295,8375,5,1995,1970,695,1250,39933,390L,e1*2001/116*0308*08,VR31,AA,0,A,,
9,00GPS9,Personenauto,BMW,3ER REIHE,20221012,20210920,stationwagen,BLAUW,Niet geregistreerd,4,1435,1535,20080811,20080811,Geen verstrekking in Open Data,Ja,4,4,M1,op r. schroefveerkoker onder motorkap,,0.07,276,Nee,Ja,Nee,2021,Logisch,00,Ja,2022-10-12T00:00:00.000,2021-09-20T00:00:00.000,2008-08-11T00:00:00.000,2008-08-11T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,452,0,2000,0,3475,10026,5,1995,2000,695,1400,44258,390L,e1*2001/116*0308*08,VR31,AB,0,B,,
