,kenteken,voertuigsoort,merk,handelsbenaming,datum_tenaamstelling,inrichting,eerste_kleur,tweede_kleur,aantal_cilinders,massa_ledig_voertuig,massa_rijklaar,datum_eerste_toelating,datum_eerste_tenaamstelling_in_nederland,wacht_op_keuren,wam_verzekerd,aantal_deuren,aantal_wielen,afstand_hart_koppeling_tot_achterzijde_voertuig,afstand_voorzijde_voertuig_tot_hart_koppeling,lengte,breedte,europese_voertuigcategorie,plaats_chassisnummer,technische_max_massa_voertuig,volgnummer_wijziging_eu_typegoedkeuring,vermogen_massarijklaar,wielbasis,export_indicator,openstaande_terugroepactie_indicator,taxi_indicator,maximum_massa_samenstelling,jaar_laatste_registratie_tellerstand,tellerstandoordeel,code_toelichting_tellerstandoordeel,tenaamstellen_mogelijk,datum_tenaamstelling_dt,datum_eerste_toelating_dt,datum_eerste_tenaamstelling_in_nederland_dt,maximum_last_onder_de_vooras_sen_tezamen_koppeling,api_gekentekende_voertuigen_assen,api_gekentekende_voertuigen_brandstof,api_gekentekende_voertuigen_carrosserie,api_gekentekende_voertuigen_carrosserie_specifiek,api_gekentekende_voertuigen_voertuigklasse,vervaldatum_apk,bruto_bpm,aantal_zitplaatsen,cilinderinhoud,toegestane_maximum_massa_voertuig,catalogusprijs,type,typegoedkeuringsnummer,variant,uitvoering,aantal_rolstoelplaatsen,vervaldatum_apk_dt,zuinigheidsclassificatie,maximum_ondersteunende_snelheid,maximum_massa_trekken_ongeremd,maximum_trekken_massa_geremd
0,0001VH,Personenauto,TOYOTA,CELICA ST,20201203,Niet geregistreerd,WIT,Niet geregistreerd,4,949,1049,19720810,19720810,Geen verstrekking in Open Data,Nee,2,4,0,0,0,0,M1,l. tegen schutbord onder motorkap,0,0,0.00,243,Nee,Nee,Nee,0,1997,Geen oordeel,06,Ja,2020-12-03T00:00:00.000,1972-08-10T00:00:00.000,1972-08-10T00:00:00.000,0,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,,,,,,,,,,,,,,,,
1,00GPT6,Personenauto,TOYOTA,TOYOTA AYGO,20101110,hatchback,WIT,Niet geregistreerd,3,775,875,20080912,20080912,Geen verstrekking in Open Data,Ja,2,4,0,0,341,0,M1,r. op bodemplaat by voorzitting,1180,0,0.06,234,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2010-11-10T00:00:00.000,2008-09-12T00:00:00.000,2008-09-12T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230920,182,4,998,1180,8690,AB1,e11*2001/116*0236*05,KGB10(G),KGB10L-AGMRKW(1F),0,2023-09-20T00:00:00.000,A,,,
2,00HFT4,Personenauto,TOYOTA,TOYOTA AYGO,20200701,hatchback,WIT,Niet geregistreerd,3,805,905,20081113,20081113,Geen verstrekking in Open Data,Ja,4,4,0,0,341,0,M1,r. op bodemplaat by voorzitting,1190,0,0.06,234,Nee,Ja,Nee,0,2021,Logisch,00,Ja,2020-07-01T00:00:00.000,2008-11-13T00:00:00.000,2008-11-13T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20221203,617,4,998,1190,10349,AB1,e11*2001/116*0236*05,KGB10(H),KGB10L-AHMGKW(1F),0,2022-12-03T00:00:00.000,A,,,
3,00HNR3,Personenauto,TOYOTA,TOYOTA AYGO,20220913,hatchback,WIT,Niet geregistreerd,3,775,875,20090116,20090116,Geen verstrekking in Open Data,Ja,2,4,0,0,341,0,M1,r. op bodemplaat by voorzitting,1180,0,0.06,234,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2022-09-13T00:00:00.000,2009-01-16T00:00:00.000,2009-01-16T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230524,,4,998,1180,8656,AB1,e11*2001/116*0236*05,KGB10(G),KGB10L-AGMRKW(1F),0,2023-05-24T00:00:00.000,A,,,
4,00HNZ5,Personenauto,TOYOTA,TOYOTA AYGO,20090123,hatchback,WIT,Niet geregistreerd,3,805,905,20090123,20090123,Geen verstrekking in Open Data,Ja,4,4,0,0,341,0,M1,r. op bodemplaat by voorzitting,1190,0,0.06,234,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2009-01-23T00:00:00.000,2009-01-23T00:00:00.000,2009-01-23T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230123,,4,998,1190,10448,AB1,e11*2001/116*0236*05,KGB10(H),KGB10L-AHMGKW(1F),0,2023-01-23T00:00:00.000,A,,,
5,00HRD5,Personenauto,TOYOTA,TOYOTA IQ,20160304,coupe,WIT,Niet geregistreerd,3,820,920,20090303,20090303,Geen verstrekking in Open Data,Ja,2,4,0,0,299,0,M1,by dwarsbalk,1210,0,0.05,200,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2016-03-04T00:00:00.000,2009-03-03T00:00:00.000,2009-03-03T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230303,,4,998,1210,13405,AJ1(A),e6*2001/116*0119*00,KGJ10(G),KGJ10L-BGMRGW(2A),0,2023-03-03T00:00:00.000,A,,,
6,00HTJ9,Personenauto,TOYOTA,TOYOTA AYGO,20150723,hatchback,WIT,Niet geregistreerd,3,780,880,20090225,20090225,Geen verstrekking in Open Data,Ja,4,4,0,0,342,0,M1,r. op bodemplaat by voorzitting,1190,0,0.06,234,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2015-07-23T00:00:00.000,2009-02-25T00:00:00.000,2009-02-25T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230226,,4,998,1190,8879,AB1,e11*2001/116*0236*06,KGB10(H),KGB10L-AHMRKW(1G),0,2023-02-26T00:00:00.000,A,,,
7,00HTN3,Personenauto,TOYOTA,TOYOTA IQ,20160415,coupe,WIT,Niet geregistreerd,3,820,920,20090302,20090302,Geen verstrekking in Open Data,Ja,2,4,0,0,299,0,M1,by dwarsbalk,1210,0,0.05,200,Nee,Nee,Nee,0,2021,Logisch,00,Ja,2016-04-15T00:00:00.000,2009-03-02T00:00:00.000,2009-03-02T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20221223,,4,998,1210,12990,AJ1(A),e6*2001/116*0119*00,KGJ10(G),KGJ10L-BGMRGW(2A),0,2022-12-23T00:00:00.000,A,,,
8,00JBF7,Personenauto,TOYOTA,TOYOTA IQ,20110608,coupe,WIT,Niet geregistreerd,3,820,920,20090408,20090408,Geen verstrekking in Open Data,Ja,2,4,0,0,299,0,M1,by dwarsbalk,1210,0,0.05,200,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2011-06-08T00:00:00.000,2009-04-08T00:00:00.000,2009-04-08T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230426,,4,998,1210,13405,AJ1(A),e6*2001/116*0119*00,KGJ10(G),KGJ10L-BGMRGW(2A),0,2023-04-26T00:00:00.000,A,,,
9,00JBH4,Personenauto,TOYOTA,TOYOTA AYGO,20220516,hatchback,WIT,Niet geregistreerd,3,775,875,20090423,20090423,Geen verstrekking in Open Data,Ja,2,4,0,0,342,0,M1,r. op bodemplaat by voorzitting,1180,0,0.06,234,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2022-05-16T00:00:00.000,2009-04-23T00:00:00.000,2009-04-23T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,20230518,,4,998,1180,8689,AB1,e11*2001/116*0236*06,KGB10(G),KGB10L-AGMRKW(1G),0,2023-05-18T00:00:00.000,A,,,
